,FECHA_TRANSACCION,DISPOSITIVO,HORA,DIFERENCIA
18205,2024-04-20,10001648,17:36:14,3.0
18206,2024-04-20,10001648,17:36:35,21.0
18207,2024-04-20,10001648,17:36:49,14.0
18208,2024-04-20,10001648,17:37:38,49.0
18209,2024-04-20,10001648,17:39:03,85.0
18210,2024-04-20,10001648,17:39:08,5.0
18211,2024-04-20,10001648,17:42:18,190.0
18212,2024-04-20,10001648,17:43:17,59.0
18213,2024-04-20,10001648,17:43:29,12.0
18214,2024-04-20,10001648,17:48:08,279.0
18215,2024-04-20,10001648,17:49:02,54.0
18216,2024-04-20,10001648,17:50:28,86.0
18217,2024-04-20,10001648,17:52:01,93.0
18218,2024-04-20,10001648,17:52:49,48.0
18219,2024-04-20,10001648,17:52:58,9.0
18220,2024-04-20,10001648,17:53:09,11.0
18221,2024-04-20,10001648,17:53:14,5.0
18222,2024-04-20,10001648,17:54:38,84.0
18223,2024-04-20,10001648,17:56:21,103.0
18224,2024-04-20,10001648,17:56:54,33.0
18225,2024-04-20,10001648,17:58:21,87.0
18226,2024-04-20,10001648,17:58:25,4.0
18227,2024-04-20,10001648,17:58:42,17.0
18228,2024-04-20,10001648,18:00:57,135.0
18229,2024-04-20,10001648,18:01:00,3.0
18230,2024-04-20,10001648,18:01:02,2.0
18231,2024-04-20,10001648,18:01:42,40.0
18232,2024-04-20,10001648,18:03:12,90.0
18233,2024-04-20,10001648,18:03:15,3.0
18234,2024-04-20,10001648,18:03:18,3.0
18235,2024-04-20,10001648,18:03:21,3.0
18236,2024-04-20,10001648,18:03:24,3.0
18237,2024-04-20,10001648,18:03:53,29.0
18238,2024-04-20,10001648,18:04:51,58.0
18239,2024-04-20,10001648,18:05:36,45.0
18240,2024-04-20,10001648,18:06:35,59.0
18241,2024-04-20,10001648,18:06:54,19.0
18242,2024-04-20,10001648,18:07:10,16.0
18243,2024-04-20,10001648,18:07:50,40.0
18244,2024-04-20,10001648,18:07:55,5.0
18245,2024-04-20,10001648,18:08:09,14.0
18246,2024-04-20,10001648,18:08:23,14.0
18247,2024-04-20,10001648,18:08:28,5.0
18248,2024-04-20,10001648,18:08:32,4.0
18249,2024-04-20,10001648,18:09:12,40.0
18250,2024-04-20,10001648,18:09:17,5.0
